"model","max.cor","median.cor"
"growth",0.88835953350476,0.304960440596464
"growth_nc",0.876707809798408,0.0349130537768373
"mvnc",0.968296662669641,0.968296662669641
"mvnd",0.627420621308798,0.402739853961267
"redkite",0.803522494223855,0.0972232115930389
"ss_logistic",0.962307587645738,0.0635428163325863
"ss_logistic_nc",0.958027562524761,0.0463455432044897
"swallows",0.90424554564327,0.0299372407242086
"swallows_nc",0.808870258518553,0.0252622730350982
"wildflower",0.964830128192981,0.0243994194164526
"wildflower_nc",0.962533638165085,0.0213854290479073
